Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,ACT,Organic chemicals (M),C&D,Recycling,0.0
2006,ACT,Organic chemicals (M),C&I,Disposal,20.671376930510757
2006,ACT,Organic chemicals (M),C&I,Energy recovery,1.0030425350355499
2006,ACT,Organic chemicals (M),C&I,Recycling,2.6586224119132247
2006,ACT,Organic chemicals (M),Total,Disposal,20.671376930510757
2006,ACT,Organic chemicals (M),Total,Energy recovery,1.0030425350355499
2006,ACT,Organic chemicals (M),Total,Recycling,2.6586224119132247
2006,ACT,Organic solvents (G),C&D,Disposal,0.0
2006,ACT,Organic solvents (G),C&D,Energy recovery,0.0
2006,ACT,Organic solvents (G),C&D,Recycling,0.0
2006,ACT,Organic solvents (G),C&I,Disposal,2.7656543403985365
2006,ACT,Organic solvents (G),C&I,Energy recovery,0.28659171169285885
2006,ACT,Organic solvents (G),C&I,Recycling,14.79142730469214
2006,ACT,Organic solvents (G),Total,Disposal,2.7656543403985365
2006,ACT,Organic solvents (G),Total,Energy recovery,0.28659171169285885
2006,ACT,Organic solvents (G),Total,Recycling,14.79142730469214
2006,ACT,Other,C&D,Disposal,0.0
2006,ACT,Other,C&D,Energy recovery,0.0
2006,ACT,Other,C&D,Recycling,0.0
2006,ACT,Other,C&I,Disposal,0.0
2006,ACT,Other,C&I,Energy recovery,0.0
2006,ACT,Other,C&I,Recycling,0.0
2006,ACT,Other,Total,Disposal,0.0
2006,ACT,Other,Total,Energy recovery,0.0
2006,ACT,Other,Total,Recycling,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&D,Disposal,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&D,Energy recovery,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&D,Recycling,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&I,Disposal,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&I,Energy recovery,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",C&I,Recycling,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",Total,Disposal,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",Total,Energy recovery,0.0
2006,ACT,"Other hazardous organic wastes (K140, K190)",Total,Recycling,0.0
2006,ACT,Other miscellaneous (other T),C&D,Disposal,0.0
2006,ACT,Other miscellaneous (other T),C&D,Energy recovery,0.0
2006,ACT,Other miscellaneous (other T),C&D,Recycling,0.0
2006,ACT,Other miscellaneous (other T),C&I,Disposal,31.204418766169958
2006,ACT,Other miscellaneous (other T),C&I,Energy recovery,0.0
2006,ACT,Other miscellaneous (other T),C&I,Recycling,17.15112723630073
2006,ACT,Other miscellaneous (other T),Total,Disposal,31.204418766169958
2006,ACT,Other miscellaneous (other T),Total,Energy recovery,0.0
2006,ACT,Other miscellaneous (other T),Total,Recycling,17.15112723630073
2006,ACT,Other organics,C&D,Disposal,57.0
2006,ACT,Other organics,C&D,Energy recovery,6.0
2006,ACT,Other organics,C&I,Disposal,956.0
2006,ACT,Other organics,C&I,Energy recovery,107.0
2006,ACT,Other organics,MSW,Disposal,4025.0
2006,ACT,Other organics,MSW,Energy recovery,452.0
2006,ACT,Other organics,Total,Disposal,5038.0
2006,ACT,Other organics,Total,Energy recovery,565.0
2006,ACT,Other soil/sludges (other N),C&D,Disposal,0.0
2006,ACT,Other soil/sludges (other N),C&D,Energy recovery,0.0
2006,ACT,Other soil/sludges (other N),C&D,Recycling,0.0
2006,ACT,Other soil/sludges (other N),C&I,Disposal,7.332580716164923
2006,ACT,Other soil/sludges (other N),C&I,Energy recovery,0.0
2006,ACT,Other soil/sludges (other N),C&I,Recycling,3.0476370895176332
2006,ACT,Other soil/sludges (other N),Total,Disposal,7.332580716164923
2006,ACT,Other soil/sludges (other N),Total,Energy recovery,0.0
2006,ACT,Other soil/sludges (other N),Total,Recycling,3.0476370895176332
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&D,Disposal,0.0
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&D,Energy recovery,0.0
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&D,Recycling,0.0
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&I,Disposal,19.919589548028675
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&I,Energy recovery,5.984275434792507
2006,ACT,"Paints, resins, inks, organic sludges (F)",C&I,Recycling,25.478885426878144
2006,ACT,"Paints, resins, inks, organic sludges (F)",Total,Disposal,19.919589548028675
2006,ACT,"Paints, resins, inks, organic sludges (F)",Total,Energy recovery,5.984275434792507
2006,ACT,"Paints, resins, inks, organic sludges (F)",Total,Recycling,25.478885426878144
2006,ACT,Pesticides (H),C&D,Disposal,0.0
2006,ACT,Pesticides (H),C&D,Energy recovery,0.0
2006,ACT,Pesticides (H),C&D,Recycling,0.0
2006,ACT,Pesticides (H),C&I,Disposal,0.05998257796515393
2006,ACT,Pesticides (H),C&I,Energy recovery,0.0
2006,ACT,Pesticides (H),C&I,Recycling,0.238919704990998
2006,ACT,Pesticides (H),Total,Disposal,0.05998257796515393
2006,ACT,Pesticides (H),Total,Energy recovery,0.0
2006,ACT,Pesticides (H),Total,Recycling,0.238919704990998
2006,ACT,Plasterboard & cement sheeting,C&D,Recycling,0.0
